bin,left,right,count,mean_predicted_score,observed_positive_rate,absolute_gap
1,0.0,0.1,1081,0.0318322903587419,0.020351526364477335,0.011480763994264568
2,0.1,0.2,198,0.146062385010101,0.09090909090909091,0.05515329410101008
3,0.2,0.30000000000000004,91,0.2452775170329671,0.2087912087912088,0.0364863082417583
4,0.30000000000000004,0.4,53,0.3482867228301887,0.3584905660377358,0.010203843207547136
5,0.4,0.5,48,0.452130023125,0.625,0.172869976875
6,0.5,0.6000000000000001,46,0.5489765239130435,0.7608695652173914,0.21189304130434783
7,0.6000000000000001,0.7000000000000001,56,0.6529732805357142,0.8392857142857143,0.18631243375000006
8,0.7000000000000001,0.8,53,0.7574060849056603,0.8867924528301887,0.1293863679245284
9,0.8,0.9,107,0.8550907274766355,0.9439252336448598,0.0888345061682243
10,0.9,1.0,1024,0.9846622254101562,0.9833984375,0.0012637879101562444
